tail: top 25,000 uncoded strings, covering 492,040 education rows
[cip_llm] firing 50,000 units across ['local5080', 'fw4b', 'fwmoe']
  [pool] 4,150 done  8.36 item/s  ~91 min left  (failed=0)
  [pool] 4,175 done  8.36 item/s  ~91 min left  (failed=0)
  [pool] 4,200 done  8.37 item/s  ~91 min left  (failed=0)
  [pool] 4,225 done  8.37 item/s  ~91 min left  (failed=0)
  [pool] 4,250 done  8.37 item/s  ~91 min left  (failed=0)
  [pool] 4,275 done  8.37 item/s  ~91 min left  (failed=0)
  [pool] 4,300 done  8.37 item/s  ~91 min left  (failed=0)
  [pool] 4,325 done  8.38 item/s  ~91 min left  (failed=0)
  [pool] 4,350 done  8.38 item/s  ~91 min left  (failed=0)
  [pool] 4,375 done  8.38 item/s  ~91 min left  (failed=0)
  [pool] 4,400 done  8.38 item/s  ~91 min left  (failed=0)
  [pool] 4,425 done  8.39 item/s  ~91 min left  (failed=0)
  [pool] 4,450 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,475 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,500 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,525 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,550 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,575 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,600 done  8.40 item/s  ~90 min left  (failed=0)
  [pool] 4,625 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,650 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,675 done  8.42 item/s  ~90 min left  (failed=0)
  [pool] 4,700 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,725 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,750 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,775 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,800 done  8.41 item/s  ~90 min left  (failed=0)
  [pool] 4,825 done  8.42 item/s  ~89 min left  (failed=0)
  [pool] 4,850 done  8.42 item/s  ~89 min left  (failed=0)
  [pool] 4,875 done  8.42 item/s  ~89 min left  (failed=0)
  [pool] 4,900 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 4,925 done  8.42 item/s  ~89 min left  (failed=0)
  [pool] 4,950 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 4,975 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,000 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,025 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,050 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,075 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,100 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,125 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,150 done  8.43 item/s  ~89 min left  (failed=0)
  [pool] 5,175 done  8.44 item/s  ~89 min left  (failed=0)
  [pool] 5,200 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,225 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,250 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,275 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,300 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,325 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,350 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,375 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,400 done  8.45 item/s  ~88 min left  (failed=0)
  [pool] 5,425 done  8.45 item/s  ~88 min left  (failed=0)
  [pool] 5,450 done  8.44 item/s  ~88 min left  (failed=0)
  [pool] 5,475 done  8.45 item/s  ~88 min left  (failed=0)
  [pool] 5,500 done  8.45 item/s  ~88 min left  (failed=0)
  [pool] 5,525 done  8.45 item/s  ~88 min left  (failed=0)
  [pool] 5,550 done  8.46 item/s  ~88 min left  (failed=0)
  [pool] 5,575 done  8.45 item/s  ~88 min left  (failed=0)
  [pool] 5,600 done  8.46 item/s  ~87 min left  (failed=0)
  [pool] 5,625 done  8.46 item/s  ~87 min left  (failed=0)
  [pool] 5,650 done  8.46 item/s  ~87 min left  (failed=0)
  [pool] 5,675 done  8.47 item/s  ~87 min left  (failed=0)
  [pool] 5,700 done  8.47 item/s  ~87 min left  (failed=0)
  [pool] 5,725 done  8.47 item/s  ~87 min left  (failed=0)
  [pool] 5,750 done  8.47 item/s  ~87 min left  (failed=0)
  [pool] 5,775 done  8.47 item/s  ~87 min left  (failed=0)
  [pool] 5,800 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,825 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,850 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,875 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,900 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,925 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,950 done  8.48 item/s  ~87 min left  (failed=0)
  [pool] 5,975 done  8.48 item/s  ~86 min left  (failed=0)
  [pool] 6,000 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,025 done  8.48 item/s  ~86 min left  (failed=0)
  [pool] 6,050 done  8.48 item/s  ~86 min left  (failed=0)
  [pool] 6,075 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,100 done  8.48 item/s  ~86 min left  (failed=0)
  [pool] 6,125 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,150 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,175 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,200 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,225 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,250 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,275 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,300 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,325 done  8.49 item/s  ~86 min left  (failed=0)
  [pool] 6,350 done  8.50 item/s  ~86 min left  (failed=0)
  [pool] 6,375 done  8.50 item/s  ~86 min left  (failed=0)
  [pool] 6,400 done  8.50 item/s  ~86 min left  (failed=0)
  [pool] 6,425 done  8.50 item/s  ~85 min left  (failed=0)
  [pool] 6,450 done  8.50 item/s  ~85 min left  (failed=0)
  [pool] 6,475 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,500 done  8.50 item/s  ~85 min left  (failed=0)
  [pool] 6,525 done  8.50 item/s  ~85 min left  (failed=0)
  [pool] 6,550 done  8.50 item/s  ~85 min left  (failed=0)
  [pool] 6,575 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,600 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,625 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,650 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,675 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,700 done  8.51 item/s  ~85 min left  (failed=0)
  [pool] 6,725 done  8.52 item/s  ~85 min left  (failed=0)
  [pool] 6,750 done  8.52 item/s  ~85 min left  (failed=0)
  [pool] 6,775 done  8.52 item/s  ~85 min left  (failed=0)
  [pool] 6,800 done  8.52 item/s  ~84 min left  (failed=0)
  [pool] 6,825 done  8.52 item/s  ~84 min left  (failed=0)
  [pool] 6,850 done  8.52 item/s  ~84 min left  (failed=0)
  [pool] 6,875 done  8.52 item/s  ~84 min left  (failed=0)
  [pool] 6,900 done  8.52 item/s  ~84 min left  (failed=0)
  [pool] 6,925 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 6,950 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 6,975 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,000 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,025 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,050 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,075 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,100 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,125 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,150 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,175 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,200 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,225 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,250 done  8.53 item/s  ~84 min left  (failed=0)
  [pool] 7,275 done  8.53 item/s  ~83 min left  (failed=0)
  [pool] 7,300 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,325 done  8.53 item/s  ~83 min left  (failed=0)
  [pool] 7,350 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,375 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,400 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,425 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,450 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,475 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,500 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,525 done  8.54 item/s  ~83 min left  (failed=0)
  [pool] 7,550 done  8.55 item/s  ~83 min left  (failed=0)
  [pool] 7,575 done  8.55 item/s  ~83 min left  (failed=0)
  [pool] 7,600 done  8.55 item/s  ~83 min left  (failed=0)
  [pool] 7,625 done  8.55 item/s  ~83 min left  (failed=0)
  [pool] 7,650 done  8.55 item/s  ~83 min left  (failed=0)
  [pool] 7,675 done  8.55 item/s  ~83 min left  (failed=0)
  [pool] 7,700 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,725 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,750 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,775 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,800 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,825 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,850 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 7,875 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 7,900 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 7,925 done  8.55 item/s  ~82 min left  (failed=0)
  [pool] 7,950 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 7,975 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,000 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,025 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,050 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,075 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,100 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,125 done  8.56 item/s  ~82 min left  (failed=0)
  [pool] 8,150 done  8.56 item/s  ~81 min left  (failed=0)
  [pool] 8,175 done  8.56 item/s  ~81 min left  (failed=0)
  [pool] 8,200 done  8.56 item/s  ~81 min left  (failed=0)
  [pool] 8,225 done  8.56 item/s  ~81 min left  (failed=0)
  [pool] 8,250 done  8.56 item/s  ~81 min left  (failed=0)
  [pool] 8,275 done  8.56 item/s  ~81 min left  (failed=0)
  [pool] 8,300 done  8.53 item/s  ~81 min left  (failed=0)
  [pool] 8,325 done  8.51 item/s  ~82 min left  (failed=0)
  [pool] 8,350 done  8.47 item/s  ~82 min left  (failed=0)
  [pool] 8,375 done  8.45 item/s  ~82 min left  (failed=0)
  [pool] 8,400 done  8.43 item/s  ~82 min left  (failed=0)
  [pool] 8,425 done  8.40 item/s  ~82 min left  (failed=0)
  [pool] 8,450 done  8.39 item/s  ~83 min left  (failed=0)
  [pool] 8,475 done  8.36 item/s  ~83 min left  (failed=0)
  [pool] 8,500 done  8.34 item/s  ~83 min left  (failed=0)
  [pool] 8,525 done  8.32 item/s  ~83 min left  (failed=0)
  [pool] 8,550 done  8.30 item/s  ~83 min left  (failed=0)
  [pool] 8,575 done  8.27 item/s  ~83 min left  (failed=0)
  [pool] 8,600 done  8.26 item/s  ~84 min left  (failed=0)
  [pool] 8,625 done  8.24 item/s  ~84 min left  (failed=0)
  [pool] 8,650 done  8.22 item/s  ~84 min left  (failed=0)
  [pool] 8,675 done  8.20 item/s  ~84 min left  (failed=0)
  [pool] 8,700 done  8.18 item/s  ~84 min left  (failed=0)
  [pool] 8,725 done  8.16 item/s  ~84 min left  (failed=0)
  [pool] 8,750 done  8.15 item/s  ~84 min left  (failed=0)
  [pool] 8,775 done  8.12 item/s  ~85 min left  (failed=0)
  [pool] 8,800 done  8.10 item/s  ~85 min left  (failed=0)
  [pool] 8,825 done  8.09 item/s  ~85 min left  (failed=0)
  [pool] 8,850 done  8.07 item/s  ~85 min left  (failed=0)
  [pool] 8,875 done  8.04 item/s  ~85 min left  (failed=0)
  [pool] 8,900 done  8.03 item/s  ~85 min left  (failed=0)
  [pool] 8,925 done  8.01 item/s  ~85 min left  (failed=0)
  [pool] 8,950 done  7.99 item/s  ~86 min left  (failed=0)
  [pool] 8,975 done  7.98 item/s  ~86 min left  (failed=0)
  [pool] 9,000 done  7.96 item/s  ~86 min left  (failed=0)
  [pool] 9,025 done  7.94 item/s  ~86 min left  (failed=0)
  [pool] 9,050 done  7.92 item/s  ~86 min left  (failed=0)
  [pool] 9,075 done  7.90 item/s  ~86 min left  (failed=0)
  [pool] 9,100 done  7.89 item/s  ~86 min left  (failed=0)
  [pool] 9,125 done  7.87 item/s  ~87 min left  (failed=0)
  [pool] 9,150 done  7.85 item/s  ~87 min left  (failed=0)
  [pool] 9,175 done  7.83 item/s  ~87 min left  (failed=0)
  [pool] 9,200 done  7.82 item/s  ~87 min left  (failed=0)
  [pool] 9,225 done  7.80 item/s  ~87 min left  (failed=0)
  [pool] 9,250 done  7.79 item/s  ~87 min left  (failed=0)
  [pool] 9,275 done  7.78 item/s  ~87 min left  (failed=0)
  [pool] 9,300 done  7.76 item/s  ~87 min left  (failed=0)
  [pool] 9,325 done  7.74 item/s  ~88 min left  (failed=0)
  [pool] 9,350 done  7.72 item/s  ~88 min left  (failed=0)
  [pool] 9,375 done  7.71 item/s  ~88 min left  (failed=0)
  [pool] 9,400 done  7.69 item/s  ~88 min left  (failed=0)
  [pool] 9,425 done  7.68 item/s  ~88 min left  (failed=0)
  [pool] 9,450 done  7.67 item/s  ~88 min left  (failed=0)
  [pool] 9,475 done  7.65 item/s  ~88 min left  (failed=0)
  [pool] 9,500 done  7.63 item/s  ~88 min left  (failed=0)
  [pool] 9,525 done  7.62 item/s  ~89 min left  (failed=0)
  [pool] 9,550 done  7.61 item/s  ~89 min left  (failed=0)
  [pool] 9,575 done  7.60 item/s  ~89 min left  (failed=0)
  [pool] 9,600 done  7.58 item/s  ~89 min left  (failed=0)
  [pool] 9,625 done  7.57 item/s  ~89 min left  (failed=0)
  [pool] 9,650 done  7.55 item/s  ~89 min left  (failed=0)
  [pool] 9,675 done  7.54 item/s  ~89 min left  (failed=0)
  [pool] 9,700 done  7.52 item/s  ~89 min left  (failed=0)
  [pool] 9,725 done  7.51 item/s  ~89 min left  (failed=0)
  [pool] 9,750 done  7.50 item/s  ~89 min left  (failed=0)
  [pool] 9,775 done  7.49 item/s  ~89 min left  (failed=0)
  [pool] 9,800 done  7.48 item/s  ~90 min left  (failed=0)
  [pool] 9,825 done  7.46 item/s  ~90 min left  (failed=0)
  [pool] 9,850 done  7.44 item/s  ~90 min left  (failed=0)
  [pool] 9,875 done  7.43 item/s  ~90 min left  (failed=0)
  [pool] 9,900 done  7.42 item/s  ~90 min left  (failed=0)
  [pool] 9,925 done  7.41 item/s  ~90 min left  (failed=0)
  [pool] 9,950 done  7.39 item/s  ~90 min left  (failed=0)
  [pool] 9,975 done  7.38 item/s  ~90 min left  (failed=0)
  [pool] 10,000 done  7.37 item/s  ~90 min left  (failed=0)
  [pool] 10,025 done  7.36 item/s  ~91 min left  (failed=0)
  [pool] 10,050 done  7.35 item/s  ~91 min left  (failed=0)
  [pool] 10,075 done  7.34 item/s  ~91 min left  (failed=0)
  [pool] 10,100 done  7.32 item/s  ~91 min left  (failed=0)
  [pool] 10,125 done  7.31 item/s  ~91 min left  (failed=0)
  [pool] 10,150 done  7.30 item/s  ~91 min left  (failed=0)
